gene,role
PHF6,TSG
LAMTOR5,oncogene
PPP2R5C,TSG
YY1,oncogene
TCHP,TSG
INPP4B,TSG
TBX2,oncogene
TBX3,both
CTNND2,oncogene
CTNND1,TSG
TBX5,TSG
BCORL1,both
SH3GL1,oncogene
ZNF668,TSG
HACE1,TSG
ZHX2,TSG
XCL1,oncogene
FHL2,oncogene
FHL1,TSG
ING3,TSG
KDR,oncogene
TAL1,oncogene
TAL2,oncogene
FOXD3,TSG
PLA2G2A,TSG
ATRX,TSG
PAWR,TSG
UCHL1,both
RAD51B,TSG
MIR193B,TSG
MIR92B,oncogene
RARRES3,TSG
MIR16-2,TSG
AIMP2,both
AIMP1,TSG
MLANA,oncogene
MIR17,both
PIN1,TSG
MIEN1,oncogene
YES1,oncogene
DCLRE1A,TSG
MIR20A,both
ECT2,both
MLLT4,oncogene
FAS,TSG
UVRAG,TSG
NPAS2,TSG
MLLT3,oncogene
HNRNPA2B1,oncogene
TERT,both
ZNHIT6,oncogene
SPOP,both
GTPBP4,TSG
TP53BP1,TSG
TP53BP2,TSG
AXIN2,TSG
ARID3A,oncogene
CASP5,TSG
CASP2,TSG
CASP3,TSG
TNFRSF10A,TSG
CASP8,TSG
CASP9,TSG
BCL9,oncogene
KRT19,TSG
BCL6,oncogene
BCL3,oncogene
BCL2,oncogene
BLID,TSG
UBE2QL1,TSG
PLK1,both
CDX2,both
PLK5,TSG
AKT1,oncogene
AKT2,oncogene
SETD1B,TSG
S100A11,TSG
NKX2-1,both
MIR195,TSG
AHCYL1,both
STUB1,TSG
FSTL3,oncogene
DLEU2,TSG
PIR,oncogene
MYB,oncogene
CROT,oncogene
ENTPD5,oncogene
TREH,oncogene
FLI1,oncogene
DLEC1,TSG
SERPINB5,TSG
SMO,oncogene
PCGF2,TSG
GSK3A,oncogene
POLE,TSG
GSK3B,TSG
CFTR,TSG
MST1R,both
MIR9-1,TSG
MIR9-2,TSG
MIR9-3,TSG
DPPA2,oncogene
DEK,oncogene
ST13,TSG
DPPA4,oncogene
NPRL2,TSG
MIR222,both
AMH,TSG
PLXNB1,oncogene
MIR224,oncogene
ASXL1,TSG
ASXL2,TSG
MIR135B,oncogene
LUADT1,oncogene
LZTS1,TSG
SMC1A,TSG
SIRT2,TSG
SIRT1,both
SIRT6,both
RASL11A,TSG
PVT1,oncogene
LRMP,TSG
HOPX,TSG
TMEFF1,TSG
TMEFF2,TSG
MIR136,TSG
MIR137,TSG
WNT5A,both
MIR132,TSG
NBPF12,oncogene
RFWD2,TSG
RFWD3,TSG
EPHA3,TSG
EPHA2,both
EPHA1,TSG
MUTYH,TSG
GNAI2,oncogene
LOC401317,TSG
TBC1D1,oncogene
TBC1D3,oncogene
TBC1D7,oncogene
ZEB1-AS1,oncogene
KDM6A,both
CITED2,TSG
FGF10,oncogene
CHST10,TSG
PDSS2,TSG
KIAA1524,oncogene
ACHE,TSG
MNAT1,oncogene
WAPL,oncogene
GOPC,oncogene
ZNF521,oncogene
SEMA3B,TSG
HIRA,TSG
SEMA3F,TSG
OSGIN1,TSG
PAIP2,TSG
MET,oncogene
EMP2,TSG
NRSN2,TSG
EMP1,TSG
MIR125A,TSG
FOXG1,oncogene
BCL11A,oncogene
BCL11B,both
VHL,TSG
LATS1,TSG
CNTNAP2,TSG
OSCP1,TSG
TXN,oncogene
FEZF1,oncogene
CDKN3,oncogene
SLC9A3R1,TSG
TSSC4,TSG
DAPK3,TSG
DAPK2,TSG
DAPK1,TSG
PIM2,oncogene
PIM3,oncogene
PIM1,oncogene
AR,oncogene
TNC,oncogene
MIR22,TSG
MIR21,oncogene
MIR25,TSG
PTPRT,TSG
ACTN4,oncogene
CREB3L2,oncogene
PTPRD,TSG
PTPRC,TSG
PTPRB,TSG
UBE3C,oncogene
GORAB,TSG
PTPRK,TSG
PTPRJ,TSG
STK10,TSG
GPAT4,oncogene
GPM6A,oncogene
GPM6B,oncogene
THBS1,TSG
GABARAP,TSG
MIR636,TSG
WRN,TSG
SMR3B,oncogene
EHF,TSG
SMARCD1,TSG
GATA6,oncogene
GATA4,TSG
GATA5,TSG
GATA2,oncogene
GATA3,both
GATA1,both
FAM172A,TSG
POU2AF1,oncogene
CCND1,oncogene
CCND3,oncogene
CCND2,oncogene
TNFSF12,TSG
HMGN5,oncogene
DIRAS1,TSG
RASL10A,TSG
DIRAS3,TSG
MIR23A,both
MIR23B,both
CHL1,oncogene
ARNTL,TSG
SOX11,TSG
SOX15,TSG
ISG15,TSG
OPCML,TSG
PDLIM4,TSG
AKTIP,oncogene
RAP1GDS1,oncogene
PLXNC1,TSG
TNK1,TSG
ZDHHC2,TSG
ZNRF3,TSG
TDRG1,TSG
SBSN,oncogene
CBL,both
APITD1,TSG
PRDM4,TSG
PRDM5,TSG
PRDM6,oncogene
PRDM1,TSG
PRDM2,TSG
MYBBP1A,TSG
FLNA,TSG
PRDM8,oncogene
PRDM9,oncogene
HES6,oncogene
POLQ,both
MIR34A,both
THRB,TSG
TLE1,oncogene
MIR34B,both
NAPEPLD,TSG
POLG,TSG
TNFRSF10B,TSG
XIAP,oncogene
TAF15,oncogene
FH,TSG
THRA,both
RNASET2,TSG
CDC6,oncogene
HIC1,TSG
CCNDBP1,TSG
CIITA,TSG
RBM10,TSG
RBM15,oncogene
RBM14,both
MIR127,TSG
MIR126,TSG
MIR199A1,both
MIR122,TSG
IL17A,TSG
MIR129-1,TSG
PLAC8,oncogene
MIR129-2,TSG
MIR1247,TSG
CUL5,TSG
YAP1,both
EI24,TSG
ALK,oncogene
TRE17,oncogene
UBIAD1,TSG
PLCG1,oncogene
MIR340,TSG
CIZ1,TSG
MIR517C,oncogene
MT2A,TSG
SGMS1,TSG
SPARCL1,TSG
CTNNB1,oncogene
NGFR,TSG
BAALC,oncogene
MITF,oncogene
MOB1A,TSG
MOB1B,TSG
EPS15,TSG
QKI,both
MAD1L1,TSG
LRRC4,TSG
CNOT3,TSG
ITGB1,TSG
ITGB3,TSG
BANP,both
RTN4,TSG
SUFU,TSG
DKK3,TSG
IER3,TSG
MBD4,TSG
MBD1,oncogene
CMTM3,TSG
CYB561D2,TSG
CMTM5,TSG
MIR31,both
TSPAN13,TSG
ARAF,oncogene
RASAL1,TSG
EHD3,TSG
RASAL2,TSG
ROS1,oncogene
PEBP1,TSG
UIMC1,TSG
ST5,TSG
NFE2L2,both
FGR,oncogene
SLC12A5,oncogene
EAF1,TSG
EAF2,TSG
ST7,TSG
ZNF268,oncogene
MRVI1,TSG
EXT2,TSG
EXT1,TSG
LPP,oncogene
HTATIP2,TSG
SAMD9L,TSG
ARID1B,TSG
ARID1A,TSG
VIM,both
YEATS4,oncogene
PTPN12,TSG
LEPROTL1,TSG
MIR487B,TSG
ACVR1C,TSG
FUS,both
WIF1,TSG
SMARCE1,TSG
SHPRH,TSG
CDCP1,TSG
MIR503,TSG
YPEL3,TSG
CCNE1,oncogene
MKL1,both
MKL2,oncogene
RAB11A,oncogene
CLDN1,TSG
MRAS,oncogene
MLLT10,oncogene
MLLT11,oncogene
SMYD4,TSG
RAB8A,oncogene
EIF4E,oncogene
BCAR4,oncogene
HOXA-AS2,oncogene
IRF3,TSG
IRF2,oncogene
HOTTIP,oncogene
IRF5,TSG
IRF4,both
IRF8,TSG
PDX1,TSG
CD74,oncogene
HDAC3,TSG
PIWIL2,TSG
PIWIL1,oncogene
ONECUT1,TSG
AHI1,oncogene
ZFHX3,TSG
KIF14,oncogene
FABP3,TSG
FANCD2,TSG
CBX8,oncogene
CBX7,oncogene
CBX5,TSG
ZBTB16,both
MIR204,TSG
MIR205,TSG
MIR206,TSG
ZBTB18,TSG
RAB18,oncogene
TNFSF9,TSG
CST6,TSG
CST5,TSG
ACVR2A,TSG
MIR196B,TSG
PLA2R1,TSG
GKN1,TSG
GKN2,TSG
ASCL1,both
DAB2IP,TSG
MIR100HG,oncogene
MTOR,oncogene
MAS1,oncogene
IGF2BP1,oncogene
TRIM62,TSG
EP300,TSG
CMC4,oncogene
MIR20B,oncogene
MAPK9,TSG
ITK,oncogene
KIF1B,TSG
KL,TSG
ZFP36,TSG
MIR133A2,TSG
RASL10B,TSG
NRF1,TSG
USP8,oncogene
ERCC2,TSG
ERCC3,TSG
USP4,oncogene
ERCC5,TSG
USP6,oncogene
SOX9,TSG
NDRG1,TSG
SOX2,oncogene
BBC3,TSG
SOX1,TSG
HIP1,oncogene
SOX7,TSG
SOX4,oncogene
SERTAD1,oncogene
CEBPA,TSG
SERTAD3,oncogene
MIR370,TSG
BIK,TSG
MIR372,oncogene
MIR373,oncogene
XRCC5,TSG
PRR5,TSG
KDM4C,oncogene
MED12,both
RND3,TSG
SUZ12,both
MIR133B,oncogene
INTS3,oncogene
INTS2,oncogene
INTS1,oncogene
INTS7,oncogene
INTS6,TSG
INTS5,oncogene
INTS4,oncogene
INTS8,oncogene
LSM1,oncogene
SRSF6,oncogene
MIRLET7A1,TSG
MIRLET7A2,TSG
CRNN,TSG
TP53COR1,TSG
CTNNA2,both
CTNNA3,TSG
PPM1A,TSG
NOTCH4,oncogene
MCC,both
NOTCH1,both
NOTCH2,both
NOTCH3,TSG
TNFRSF12A,TSG
KAT6B,TSG
KAT6A,oncogene
MZB1,TSG
MIR519D,TSG
PPM1L,TSG
CRLF2,oncogene
DLEU1,TSG
MIR138-1,TSG
IST1,oncogene
BLCAP,TSG
PTENP1,TSG
MIR1291,TSG
MIR551A,TSG
ZNF382,TSG
MIR1297,TSG
SELENBP1,TSG
GADD45A,TSG
GADD45B,TSG
EML4,oncogene
PARK2,TSG
POU6F2,TSG
DMTF1,TSG
EXTL1,TSG
EXTL2,TSG
EXTL3,TSG
MDM2,oncogene
MDM4,oncogene
SLC3A2,oncogene
RSPO3,oncogene
RSPO2,TSG
CNN1,TSG
KIT,oncogene
FOXA1,both
TPTE2,TSG
FOXA2,TSG
ZNF278,TSG
SYNM,TSG
FRS3,TSG
MIR449A,TSG
CRTC1,oncogene
TNFRSF17,oncogene
TNFRSF14,TSG
CRK,oncogene
TNFRSF18,TSG
SDHAF2,TSG
MAML2,oncogene
STAT5A,TSG
SNORA80E,oncogene
RTN4IP1,TSG
HECA,TSG
FNDC3B,oncogene
NINL,oncogene
ADAMTS9,TSG
BECN1,TSG
GBP1,TSG
TRRAP,oncogene
MIR196A2,TSG
EDA2R,TSG
ASPSCR1,oncogene
TNFRSF1B,oncogene
VWA5A,TSG
AGTR1,TSG
LCK,oncogene
GGNBP2,TSG
CD4,TSG
CCR4,oncogene
CCR7,oncogene
KIAA0101,oncogene
RAF1,oncogene
STAT6,oncogene
STAT3,both
STAT1,TSG
CD82,TSG
PTPN6,TSG
FOSL1,oncogene
CTDSPL,TSG
BNIP3L,TSG
HAX1,oncogene
EFNA5,TSG
AKR1B1,TSG
NEAT1,oncogene
GALNT10,oncogene
MIR744,oncogene
MIR211,TSG
MIR210,TSG
MIR217,TSG
MIR215,TSG
MIR214,TSG
MOS,oncogene
WDR11,TSG
PEG3,TSG
CDH11,TSG
CDH10,TSG
CDH13,TSG
CDH17,both
CDKN2C,TSG
BMPR1A,both
MAP2K1,oncogene
MIR17HG,oncogene
PAEP,TSG
MAP2K4,both
BCL9L,both
CNBP,TSG
MIR107,both
PTPN23,TSG
RAP1GAP,TSG
MIR100,TSG
BARD1,both
CCDC67,TSG
NRG1,TSG
SERPINI2,TSG
MALT1,oncogene
KMT2C,TSG
HSPB7,TSG
KMT2A,oncogene
KMT2D,both
CLDN23,TSG
RHOBTB2,TSG
MIR10B,oncogene
NUMB,TSG
MIR326,TSG
MIR367,TSG
TFCP2,oncogene
YY1AP1,oncogene
TOM1L2,TSG
BCL2L1,oncogene
MIRLET7G,TSG
MIRLET7D,TSG
MIRLET7E,TSG
MIRLET7B,TSG
MIRLET7C,TSG
LAT2,TSG
CPNE7,TSG
MIRLET7I,TSG
GSN,TSG
SPINT2,TSG
DOK2,TSG
DOK3,TSG
NDST4,TSG
GNB2L1,TSG
MPST,oncogene
GLI1,both
MIR151A,oncogene
MIR200A,TSG
TSPAN1,oncogene
CACNA2D3,TSG
ATP2B3,TSG
CSNK2A2,oncogene
CSNK2A1,oncogene
FDPS,oncogene
PTMA,oncogene
FZR1,TSG
TFPI2,TSG
MEFV,oncogene
L3MBTL4,TSG
KDM5A,both
KDM5B,oncogene
KDM5C,TSG
UFL1,TSG
AFAP1L2,TSG
PABPC1,both
DNM2,TSG
EED,TSG
PREX2,oncogene
GOLPH3,oncogene
AJAP1,TSG
OTX2,oncogene
PIK3R1,both
MIR24-1,TSG
STAG2,TSG
STAG1,TSG
HCAR2,TSG
ETV1,oncogene
ETV3,oncogene
ETV5,oncogene
ETV4,oncogene
TAF1,oncogene
ETV6,both
ARG1,TSG
TSPAN32,TSG
AIF1,TSG
RAD23B,TSG
ABL1,oncogene
ABL2,oncogene
IKZF1,both
IKZF3,TSG
IKZF2,TSG
DROSHA,TSG
BAIAP2L1,oncogene
POLD1,TSG
FASN,oncogene
PML,both
PDCD4,TSG
PDCD5,TSG
DLC1,TSG
MINA,oncogene
ARL6IP5,TSG
HMGA2,oncogene
HMGA1,oncogene
FEV,oncogene
TCEAL7,TSG
FES,both
MT1DP,TSG
DICER1,TSG
ID4,TSG
ID2,oncogene
ID3,TSG
MIR449B,TSG
ID1,oncogene
SREBF1,oncogene
CIC,both
CRYAB,oncogene
NNAT,TSG
ELF3,TSG
ELF4,both
ZRSR2,TSG
NDN,TSG
GLI2,oncogene
GLI3,oncogene
LRP1B,TSG
DOK1,TSG
MERTK,oncogene
N4BP2,TSG
HRASLS2,TSG
LDHB,oncogene
PDGFA,oncogene
PDGFB,oncogene
ERVW-1,oncogene
MIR124-1,TSG
MIR124-2,TSG
MIR124-3,TSG
MIR483,both
GPC3,both
GPC5,TSG
MIR485,oncogene
DACH1,TSG
ARMC5,TSG
MTAP,TSG
NFIB,oncogene
MIR194-1,TSG
BCL6B,TSG
MIR194-2,TSG
C2orf40,TSG
WNT11,TSG
SPATA4,oncogene
